name,sector,founded,amount_raised,headquarters,founders,country
Biryani By Kilo,Foodtech,2015,$53.24 Mn+,Gurugram,"Kaushik Roy, Ritesh Sinha, Vishal Jindal",India
Bizongo,Enterprise Tech,2015,$314.11 Mn+,Mumbai,"Aniket Deb, Ankit Tomar, Sachin Agrawal",India
BlackBuck,Enterprise Tech,2015,$381.14 Mn+,Bengaluru,"Chanakya Hridaya, Rajesh Yabaji, Ramasubramaniam B",India
Blaize,Advanced Hardware & Technology,2010,$242.00 Mn+,Hyderabad,"Dinakar Munagala, Ke Yin, Satyaki Koneru, Val Cook",India
Blinkit,Consumer Services,2013,$784.14 Mn+,Gurugram,"Albinder Dhindsa, Saurabh Kumar",India
BluSmart,Travel Tech,2019,$182.05 Mn+,Gurugram,"Anmol Jaggi, Puneet Jaggi, Punit Goyal",India
Blue Tokai Coffee Roasters,Ecommerce,2013,$72.09 Mn+,Gurugram,"Matt Chitharanjan, Namrata Asthana, Shivam Shahi",India
BlueStone,Ecommerce,2011,$224.01 Mn+,Bengaluru,Gaurav Kushwaha,India
Bobble AI,Media & Entertainment,2015,$51.92 Mn+,Gurugram,"Ankit Prasad, Mohd Wassem, Rahul Prasad",India
Bombay Shaving Company,Ecommerce,2015,$48.77 Mn+,Gurugram,"Deepu Panicker, Raunak Munot, Rohit Jaiswal, Shantanu Deshpande",India
BookMyShow,Media & Entertainment,2007,$224.50 Mn+,Mumbai,"Ashish Hemrajani, Parikshit Dar, Rajesh Balpande",India
Borzo,Logistics,2012,$55.05 Mn+,Mumbai,"Aleks Shamis, Dmitry Zubkov, Mike Alexandrovski",India
Bounce,Clean Tech,2014,$234.16 Mn+,Bengaluru,"Anil G, Varun Agni, Vivekananda Hallekere",India
Bower School of Entrepreneurship,Edtech,2024,$1.33 Mn+,Hyderabad,Pavan Allena,India
Bright Money,Fintech,2019,$93.00 Mn+,Bengaluru,"Alexander Seyfert, Amit Bendale, Avi Patchava, Avinash Ramakanth, Petko Plachkov, Varun Modi",India
BrightChamps,Edtech,2020,$63.00 Mn+,Hyderabad,"Ravi Bhushan Kumar,Sitakanta Ray",India
Broadway,Ecommerce,2023,,Mumbai,"Vivek Biyani,Rana Daggubati,Anuj Kejriwal,Apurva Salarpuria",India
Brookfield India,Fintech,2021,$415.28 Mn+,Gurugram,Alok Aggrawal,India
BrowserStack,Enterprise Tech,2011,$250.00 Mn+,Mumbai,"Nakul Aggarwal, Ritesh Arora",India
Builder.ai,Enterprise Tech,2012,$379.50 Mn+,Gurugram,"Sachin Dev Duggal, Saurabh Dhoot",India
CASHe,Fintech,2016,$25.71 Mn+,Mumbai,V. Raman Kumar,India
CRED,Fintech,2018,$921.56 Mn+,Bengaluru,Kunal Shah,India
CallHealth,Health Tech,2015,$44.62 Mn+,Hyderabad,Sandhya Raju,India
Canpac Trends,Logistics,2011,$49.10 Mn+,Ahmedabad,Nilesh Todi,India
Capillary Technologies,Enterprise Tech,2012,$241.50 Mn+,Bengaluru,"Ajay Modani, Aneesh Reddy, Krishna Mehra",India
Capital Float,Fintech,2013,$233.45 Mn+,Bengaluru,"Gaurav Hinduja, Sashank Rishyasringa",India
Captain Fresh,Ecommerce,2019,$244.54 Mn+,Bengaluru,Utham Gowda,India
Capture Solar Energy Limited,Clean Tech,2013,$125.00 Mn+,Pune,Raju Shivaji Bhosale,India
CarDekho,Ecommerce,2008,$692.10 Mn+,Jaipur,"Amit Jain, Anurag Jain",India
CarTrade,Ecommerce,2006,$310.81 Mn+,Mumbai,Vinay Sanghi,India
Caratlane,Ecommerce,2008,$65.20 Mn+,Chennai,"Avnish Anand, Gurukeerthi Gurunathan, Mithun Sacheti, Srinivasa Gopalan",India
Cars24,Ecommerce,2015,$1.30 Bn+,Gurugram,"Gajendra Jangid, Mehul Agrawal, Ruchit Agarwal, Vikram Chopra",India
Cashfree Payments,Fintech,2015,$94.04 Mn+,Bengaluru,"Akash Sinha, Reeju Datta",India
Cashify,Ecommerce,2009,$222.51 Mn+,Gurugram,"Amit Sethi, Mandeep Manocha, Nakul Kumar, Siddhant Dhingra",India
Catalogus,Enterprise Tech,2023,,Gurugram,"Himanshu Dikshit, Ankit Samria, Vipin Singh",India
Chaayos,Ecommerce,2012,$94.33 Mn+,New Delhi,"Nitin Saluja, Raghav Verma",India
Chai Point,Ecommerce,2010,$54.95 Mn+,Bengaluru,"Amuleek Singh Bijral, Gaganjot Kaur",India
Chalo,Travel Tech,2014,$144.25 Mn+,Navi Mumbai,"Dhruv Chopra, Mohit Dubey, Nikhil Aggarwal, Priya Singh, Vinayak Bhavnani",India
ChargeBee,Fintech,2011,$468.57 Mn+,Chennai,"KP Saravanan, Krish Subramanian, Rajaraman Santhanam, Thiyagarajan Thiyagu",India
ChargeZone,Clean Tech,2018,$86.11 Mn+,Vadodara,Kartikey Hariyani,India
Chingari,Media & Entertainment,2018,$88.34 Mn+,Bengaluru,"Aditya Kothari, Biswatma Nayak, Deepak Salvi, Sumit Gosh",India
Citrus Payment Solutions,Fintech,2011,$32.50 Mn+,Mumbai,"Amrish Rau, Jitendra Gupta, Satyen V Kothari",India
CityMall,Ecommerce,2019,$111.80 Mn+,Gurugram,"Angad Kikla, Divij Goyal, Naisheel Verdhan",India
Classplus,Enterprise Tech,2018,$158.32 Mn+,Noida,"Bhaswat Agarwal, Mukul Rustagi",India
Clear,Fintech,2011,$140.36 Mn+,Bengaluru,"Archit Gupta,Ankit Solanki,Anupam Mediratta,Srivatsan Chari",India
Cleartrip,Travel Tech,2006,$53.40 Mn+,Bengaluru,"Hrush Bhatt, Matthew Spacie, Stuart Crighton",India
Clix Capital,Fintech,2016,$212.20 Mn+,Gurugram,"Anil Chawla, Pramod Bhasin",India
Clove Dental,Health Tech,2011,$117.00 Mn+,New Delhi,Amar Singh,India
Cogoport,Logistics,2016,$133.61 Mn+,Gurugram,"Amitabh Shankar, Anurag Dabral, Harsh Kumar, Kunal Rathod, Nishant Dalmia, Shekhar Purnendu",India
CoinDCX,Fintech,2018,$243.99 Mn+,Mumbai,"Neeraj Khandelwal, Sumit Gupta",India
CoinSwitch,Fintech,2017,$300.00 Mn+,Bengaluru,"Ashish Singhal, Govind Soni, Vimal Sagar Tiwari",India
CollegeDekho,Edtech,2015,$92.94 Mn+,Gurugram,"Ruchir Arora,Saurabh Jain,Rohit Saha",India
CommonFloor,Real Estate Tech,2007,$62.90 Mn+,Bengaluru,"Lalit Mangal, Sumit Jain, Vikas Malpani",India
Country Delight,Ecommerce,2015,$210.43 Mn+,Gurugram,"Chakradhar Gade, Nitin Kaushal",India
Coursera,Edtech,2012,$443.10 Mn+,Gurugram,"Andrew Ng, Daphne Koller",India
Coverfox Insurance,Fintech,2013,$58.83 Mn+,Mumbai,"Devendra Rane, Varun Dua",India
CraftsVilla,Ecommerce,2011,$53.50 Mn+,Mumbai,"Bhavik Jhaveri, Manoj Gupta, Monica Gupta, Sarvajeet Chandra",India
CredAble,Fintech,2017,$71.91 Mn+,Mumbai,"Nirav Choksi, Rajiv Ramnarayan, Ram Kewalramani",India
CredResolve,Fintech,2023,$1.13 Mn+,Bengaluru,"Balaji Koustubha, Dhiraj Chiruvella, G Prashanth Kumar, Vijay Kumar",India
Credgenics,Fintech,2018,$81.80 Mn+,Noida,"Anand Agrawal, Mayank Khera,Rishabh Goel",India
CropIn,Enterprise Tech,2010,$44.08 Mn+,Bengaluru,"Krishna Kumar, Mouhiit Mohan",India
CueMath,Edtech,2013,$121.66 Mn+,Bengaluru,Manan Khurma,India
Cura Care,Health Tech,2024,$585.57K+,Bengaluru,"Abhinav Kumar, Chinmay Mittal, Paminder Singh",India
Curefoods,Foodtech,2020,$191.35 Mn+,Bengaluru,Ankit Nagori,India
Cygnus Medicare,Health Tech,2011,$27.87 Mn+,New Delhi,"Naveen Nischal, Shuchin Bajaj, Sunil Bhayana",India
DB Realty,Real Estate Tech,2007,$308.93 Mn+,Mumbai,"Shahid Balwa, Vinod Goenka",India
DMI Finance,Fintech,2008,$1.13 Bn+,New Delhi,"Shivashish Chatterjee, Yuvraja C Singh",India
DailyHunt,Media & Entertainment,2007,$1.71 Bn+,Bengaluru,"Chandu Sohoni, Umang Bedi, Umesh Kulkarni, Virendra Gupta",India
DarwinBox,Enterprise Tech,2015,$115.50 Mn+,Hyderabad,"Chaitanya Peddi, Jayant Paleti, Rohit Chennamaneni",India
DeCharge,Clean Tech,2024,$2.50 Mn+,Hyderabad,"Mohan Ponnada,Prakash Kamaraj,Rama Krishna",India
DeHaat,Agritech,2012,$284.29 Mn+,Gurugram,"Abhishek Dokania, Adarsh Srivastava, Amrendra Singh, Shashank Kumar, Shyam Sundar Singh",India
DealShare,Ecommerce,2018,$443.62 Mn+,Bengaluru,"Rajat Shikhar, Sankar Bora, Sourjyendu Medda, Vineet Rao",India
Delhivery,Logistics,2011,$1.38 Bn+,Gurugram,"Bhavesh Manglani, Kapil Bharati, Mohit Tandon, Sahil Barua, Suraj Saharan",India
Design Cafe,Real Estate Tech,2016,$58.39 Mn+,Bengaluru,"Gita Ramanan, Shezan Bhojani",India
Detect Technologies,Enterprise Tech,2016,$43.31 Mn+,Chennai,"Daniel Raj David, Harikrishnan Arangali Shaji, Karthik Rajasekaran, Tarun Mishra",India
Dezerv,Fintech,2021,$60.00 Mn+,Mumbai,"Sahil Contractor, Sandeep Jethwani, Vaibhav Porwal",India
Digit Insurance,Fintech,2016,$542.54 Mn+,Bengaluru,Kamesh Goyal,India
Disprz,Enterprise Tech,2015,$52.44 Mn+,Chennai,"Kuljit Chadha, Subramanian Viswanathan",India
DocPrime,Health Tech,2018,$50.00 Mn+,Gurugram,Yashish Dahiya,India
