name,sector,founded,headquarters,founders,country,amount_raised_inr
Able Jobs,Enterprise Tech,2019.0,Bengaluru,"Ravish Agrawal, Siddharth Srivastav, Swatantra Kumar",India,"Rs 190,900,000.0"
AbleCredit,Fintech,2023.0,Bengaluru,"Utkarsh Apoorva, Anubhab Bandyopadhyay, Ashwini Prabhu, Harshad Saykhedkar",India,"Rs 99,600,000.0"
Abroad Shiksha,Edtech,2015.0,Gurugram,"Avinash Mittal, Jyoti Kanav Sachdeva, Jyoti Sharma, Kanav Sachdeva",India,
Absentia,Advanced Hardware & Technology,2015.0,Thane,"Harikrishna Valiyath, Shubham A Mishra, Vrushali Prasade",India,"Rs 119,520,000.0"
Absolute,Agritech,2015.0,New Delhi,Agam Khare,India,"Rs 8,487,580,000.0"
Absolute Brands,Ecommerce,2023.0,Bengaluru,Vishnu Prasad,India,"Rs 209,160,000.0"
Absorbia,Ecommerce,2009.0,Kolkata,Prabhav Sharda,India,
Abyom,Deeptech,2020.0,Hyderabad,"Jainul Abedin, Pranchal Gupta",India,"Rs 207,500,000.0"
AcadAlly,Enterprise Tech,2022.0,New Delhi,"Ridhi Agarwal, Yash Prakash",India,
Acadview,Edtech,2015.0,New Delhi,Himanshu Batra,India,
Accacia,Enterprise Tech,2022.0,Gurugram,"Annu Talreja, Jagmohan Gaarg, Piyush Chitkara, Sumeet Popli",India,"Rs 747,000,000.0"
AccelerateBS,Enterprise Services,2012.0,Mumbai,Keyur Shah,India,
Acceleron Labs,Enterprise Services,2014.0,Bengaluru,Prasad L.K.,India,
Accelo,Clean Tech,2017.0,Mumbai,"Aditya Unde, Arbaz Reza, Vrunda Nimje",India,
Accentium Web,Deeptech,2007.0,Gurugram,"Ankur Warikoo, Bharanidharan Viswanathan, Umang Kumar, Vivek Pahwa",India,"Rs 190,900,000.0"
Accio Robotics,Advanced Hardware & Technology,2019.0,Bengaluru,"Pranav Srinivasan, Tuhin Sharma",India,"Rs 149,400,000.0"
AccioJob,Consumer Services,2018.0,Gurugram,"Harsh Sharma, Priyanshu Agarwal, Vishu Bansal, Yashwardhan Burad",India,"Rs 239,870,000.0"
Accion Labs,Enterprise Tech,2011.0,Mumbai,"Kinesh Doshi,Sandesh Sukumaran,Tony Kernan",India,"Rs 7,719,000,000.0"
Accord Innovations,Enterprise Services,2019.0,Bengaluru,Dilip Shankar,India,
Acculi Labs,,2017.0,Bengaluru,"Hari Prasath M., Rupam Das",India,"Rs 180,940,000.0"
Accumax,Health Tech,2003.0,Gandhinagar,"Chirag Shah,Tejas Shah",India,"Rs 5,644,000,000.0"
Ace Turtle,Enterprise Tech,2014.0,Bengaluru,"Berry Singh, Nitin Chhabra",India,"Rs 4,018,030,000.0"
Acefour Accessories,Ecommerce,2022.0,Mumbai,"Sudip Ghose, Arnob Kumar Mondal, Uday Sodhi",India,"Rs 1,452,500,000.0"
Acko,Fintech,2016.0,Bengaluru,"Ruchi Deepak, Varun Dua",India,"Rs 49,385,000,000.0"
Acru,Enterprise Tech,2019.0,Bengaluru,"Manjunath Reddy, Hari Praveen",India,
Acsia Technologies,Enterprise Tech,2014.0,Trivandrum,"Jijimon Chandran, Sabeen Abusali",India,
ActOnMagic,Enterprise Tech,2014.0,Bengaluru,"Madan Ganesh Velayudham, Sumathi Kuppusamy",India,
Action Ment,Enterprise Tech,2022.0,Bengaluru,Sagar Kalsekar,India,
Actlogica,Fintech,2019.0,Hyderabad,"Ameet Ayare, Archana Anoor",India,
Actofit,Health Tech,2014.0,Mumbai,"Aashutosh Sharma, Nikhil Lamba, Pratik Saraogi",India,
Actyv.ai,Enterprise Tech,2019.0,Bengaluru,"Ambarish Ojha, Raghu Venkat, Raghunath Subramanian, Ramkumar Thirumurthi",India,"Rs 996,000,000.0"
Acubiosys,Health Tech,2017.0,Hyderabad,Srinivas Maddi,India,
Acuradyne Systems,Health Tech,2017.0,Mumbai,Sushanth Poojary,India,
AdOnMo,Enterprise Tech,2017.0,Hyderabad,"Sandeep Bommireddi, Sravanth Gajula",India,"Rs 4,150,000,000.0"
AdStringO,Enterprise Tech,2014.0,Navi Mumbai,Mohan Chandrasekaran,India,
AdUrCup,Enterprise Tech,2015.0,Noida,"Abhishek Verma, Harshit Mittal, Kumar Kushang, Nitin Prakash",India,
AdWyze,Enterprise Tech,2014.0,Bengaluru,"Ankur Gupta, Arun Srinivasan",India,"Rs 83,000,000.0"
Adansa,Fintech,2011.0,Kolkata,"Neeraj Kumar Jain,Anurag Mohta",India,"Rs 149,400,000.0"
Adapt motors,Ecommerce,2015.0,Hyderabad,"Bharath Mamidoju, Parupati Madukar",India,
Adda247,Edtech,2016.0,Gurugram,"Anil Nagar, Saurabh Bansal",India,"Rs 5,063,000,000.0"
AddressHealth,Health Tech,2010.0,Bengaluru,Anand Lakshman,India,"Rs 124,500,000.0"
Adiabatic,Clean Tech,2022.0,Ahmednagar,,India,
Adicube,Media & Entertainment,2021.0,Bengaluru,Sreetam Panda,India,"Rs 132,800,000.0"
Adiuvo Diagnostics,Enterprise Tech,2015.0,Chennai,"Bala Pesala, Geethanjali Radhakrishnan",India,
AdmitKard,Edtech,2016.0,Noida,"Piyush Bhartiya, Rachit Agrawal",India,"Rs 971,100,000.0"
Adonia Hospitality,Consumer Services,2021.0,Mumbai,Rupesh Kumar,India,"Rs 83,000,000.0"
Adsys,Health Tech,2021.0,Jaipur,"Hardik Sharma, Apoorv Agarwal, Yash Badola",India,
Adukale,Ecommerce,2009.0,Bengaluru,"Nagaratna Ravindra,Malathi Sharma",India,"Rs 219,120,000.0"
AdvaRisk,Fintech,2016.0,Mumbai,"Rahul Metkar, Vishal Sharma",India,
Advance Mobility,Enterprise Tech,2023.0,Mumbai,Mohit Prakash Jalan,India,"Rs 415,000,000.0"
Advanced Structures India,Enterprise Tech,2014.0,Bengaluru,Vaibhav Kumar,India,
Advenio,Enterprise Tech,2010.0,Chandigarh,Mausumi Acharyya,India,
Adventum Student Living,Edtech,2019.0,Mumbai,"Amit Singh, Sanyatan Biswas",India,"Rs 1,079,000,000.0"
Adventures Overland,Travel Tech,2012.0,Gurugram,"Sanjay Madan, Tushar Agarwal",India,"Rs 83,000,000.0"
Advisory Mandi,Fintech,2016.0,Noida,"Kaushlendra Singh Sengar,Mahek Tomar",India,"Rs 2,988,000,000.0"
Adya,Enterprise Tech,2023.0,Bengaluru,"Shayak Mazumder,Angad Ahluwalia,Archana Shah",India,"Rs 104,580,000.0"
Adyaway,Ecommerce,2020.0,Gurugram,Keshav Kumar,India,
Aegeus Technologies,Advanced Hardware & Technology,2017.0,Bengaluru,Suraj Vernekar,India,
Aequs,Enterprise Services,2006.0,Belgaum,Aravind Melligeri,India,"Rs 6,756,200,000.0"
AerMed,Health Tech,2015.0,New Delhi,"Aayush Jindal, Ashish Prakash, Naishadh Sutaria, Nandit Pathak, Nandit Pathak",India,
Aerchain,Logistics,2019.0,Bengaluru,"Harsha Kadimisetty, Himavanth Jasti",India,"Rs 539,500,000.0"
Aerem,Fintech,2020.0,Mumbai,"Anand Jain,Vikesh Agrawal",India,"Rs 622,500,000.0"
Aereo,,2013.0,Bengaluru,"Nikhil Upadhye, Suhas Banshiwala, Vipul Singh, Yeshwanth Reddy",India,"Rs 1,394,400,000.0"
Aeria,Enterprise Tech,2023.0,Gurugram,"Priyanka Gera, Awnish Kumar, Piyush Kateja",India,"Rs 149,400,000.0"
Aeries Technology Group,Fintech,2012.0,Mumbai,Sudhir Panikassery,India,
Aerostrovilos,Deeptech,2017.0,Chennai,"Rohit Grover,Pradeep Thangappan,Satya Chakravarthy,Rohit Grover,Pradeep Thangappan,Satya Chakravarthy",India,
Aesthetic,Ecommerce,2000.0,New Delhi,Divij Bajaj,India,
Affordplan,Fintech,2016.0,Gurugram,"Hemal Bhatt, Tejbir Singh",India,"Rs 1,120,500,000.0"
Afinoz,Fintech,2015.0,Noida,"Er Rachna Suneja, Pawneshwar Datt Rai, Vikas Kapoor",India,
AgNext,Enterprise Tech,2016.0,Chandigarh,"Taranjeet Singh Bhamra,Sparsh Kuar",India,"Rs 1,910,660,000.0"
Agaamin Technologies,Enterprise Tech,2022.0,Gurugram,,India,
AggrePay,Fintech,2017.0,Mumbai,Santosh Purabia,India,
Agilitas Sports,Ecommerce,2023.0,Bengaluru,"Abhishek Ganguly,Amit Prabhu,Atul Baja",India,"Rs 5,312,830,000.0"
Agnihotri Aerospace,Advanced Hardware & Technology,2022.0,Mangalore,,India,
Agnikul,Advanced Hardware & Technology,2017.0,Chennai,"Moin SPM, Satyanarayanan Chakravarthy, Srinath Ravichandran",India,"Rs 5,082,920,000.0"
Agraga,Logistics,2021.0,Chennai,"Anoop Raghavan,Venkatesh N",India,"Rs 706,330,000.0"
Agrahyah Technologies,AI,2017.0,Mumbai,"Rushabh Vasa, Sreeraman Thiagarajan, Uppal Shah",India,"Rs 83,000,000.0"
Agri10x,Agritech,2018.0,Pune,"Abhijith Naraparaju, Abhishek Chakrala, Pankajj P. Ghode, Sundeep Bose",India,
AgriApp Technologies,Agritech,2014.0,Bengaluru,Basavaraj Girennavar,India,
AgriFi. AI,Enterprise Tech,2020.0,Bengaluru,"Abhilash Thirupathy, Kapil Chawala",India,
Agricx,Agritech,2016.0,Thane,"Ritesh Dhoot, Saurabh Kumar",India,
Agrigator,Enterprise Tech,2019.0,Bhopal,"Charu Chaturvedi, Udit Sangwan",India,
Agrilectric,Agritech,2022.0,Bengaluru,"Pushpa Gopal, Rohan S, Sarvesha Y V",India,
Agrim,Agritech,2020.0,Gurugram,"Avi Jain, Mukul Garg",India,"Rs 2,431,070,000.0"
Agrix,Agritech,2020.0,Patna,"Nilay Pandey, Sandeep Joshi, Saurav Singh, Vivek Kumar",India,
Agrizy,Agritech,2020.0,Bengaluru,"Saket Chirania, Vicky Dodani",India,"Rs 1,558,740,000.0"
Agro2o,Agritech,2018.0,New Delhi,Yash Vyas,India,
AgroStar,Agritech,2013.0,Pune,"Shardul Sheth, Sitanshu Sheth",India,"Rs 9,254,500,000.0"
AgroWave,Agritech,2017.0,Gurugram,"Anu Meena,Payal Jawalkar,Prakash Kushwaha",India,"Rs 207,500,000.0"
Agrya,Enterprise Services,2010.0,Chennai,"Jaya Kumar M, Padmapriya V C",India,
Agua Wireless Systems,Enterprise Tech,2019.0,Bengaluru,Rohit Nara,India,
Ahaguru,Edtech,2012.0,Chennai,"Balaji Sampath, Gomathi Dhamodharan",India,
Ahammune Biosciences,Health Tech,2016.0,Pune,"Parul Ganju,Dr Krishnamurthy Natarajan",India,"Rs 415,000,000.0"
Ai Health Highway,Health Tech,2018.0,Bengaluru,"Satish Jeevannavar, Radhakrishna Jamadagni",India,"Rs 83,000,000.0"
AiRTH,Ecommerce,2020.0,New Delhi,"Abhimanyu Kumar, Birendra Rajan, Pushaan Singh, Ravi Kaushik",India,
Aibono,Agritech,2014.0,Bengaluru,Vivek Rajkumar,India,"Rs 423,300,000.0"
Aica Health,Enterprise Tech,2022.0,Gurugram,,India,
Aidia Technovations,Edtech,2017.0,Mumbai,Jigish Sonagara,India,
Aikaan Lab Pvt Ltd,AI,2018.0,Bengaluru,"Chetan Kumar, Pronoy Debnath",India,
Aikenist,Enterprise Tech,2019.0,Bengaluru,Ashwin Amarapuram,India,
AirCTO,Enterprise Tech,2016.0,Bengaluru,Atif Haider,India,
AirMed Labs,Health Tech,2016.0,Ahmedabad,"Amit Gupta, Aradhana Gupta, Nayan Goyal, Piyush Gupta",India,"Rs 116,200,000.0"
AirOk,Ecommerce,2015.0,New Delhi,Pavan Reddy Yasa,India,
AirProbe,Advanced Hardware & Technology,2017.0,Bengaluru,Ganesh Shankar,India,
Airattix,Logistics,2020.0,Pune,Aditya Kale,India,
Airblack,Edtech,2019.0,Gurugram,"Pulkit Pujara, Vaibhav Raj Gupta, Videt Jaiswal",India,"Rs 884,780,000.0"
Airbound,Deeptech,2020.0,Bengaluru,"Faraaz Baig, Naman Pushp",India,"Rs 141,100,000.0"
Airpay,Fintech,2012.0,Mumbai,"Amit Kapoor, Kunal Jhunjhunwala, Rohan Deshpande",India,"Rs 298,800,000.0"
Airtel Start-up Accelerator Program,,2019.0,New Delhi,,India,
