name,sector,founded,amount_raised,headquarters,founders,country
Aasaanjobs,Consumer Services,2014.0,$6.50 Mn+,Mumbai,"Dinesh Goel, Gaurav Toshniwal, Kunal Jadhav",India
Aastey,Ecommerce,2021.0,$1.34 Mn+,Mumbai,"Jeevika Tyagi, Kanupriya Mundhra",India
Aavas Financiers,Fintech,2011.0,$78.54 Mn+,Jaipur,Sushil Kumar Agarwal,India
Aayu by MedCords,Health Tech,2017.0,$4.21 Mn+,Kota,"Nikhil Baheti, Saida Dhanavath, Shreyans Mehta",India
AayushBharat,Health Tech,2020.0,,Kota,"Vaibhav Jain,Vishal Bhatnagar",India
Abcence,Enterprise Services,2022.0,,Kolkata,Md Anan Islam,India
AbeRuk,Ecommerce,2015.0,,Bengaluru,"Sidharth Kumar, Sidharth Shankar",India
AbhiBus,Travel Tech,2007.0,,Hyderabad,Sudhakar Reddy,India
Abhiloans,Fintech,2015.0,,New Delhi,"Deepit Singh, Mandeep Chaudhary",India
Abhinay Maths,Edtech,2018.0,,New Delhi,Abhinay Sharma,India
Abhiyantrik Solutions,Real Estate Tech,2022.0,$38.56K+,Hubballi,Akshaykumar Sunagar,India
Able Jobs,Enterprise Tech,2019.0,$2.30 Mn+,Bengaluru,"Ravish Agrawal, Siddharth Srivastav, Swatantra Kumar",India
AbleCredit,Fintech,2023.0,$1.20 Mn+,Bengaluru,"Utkarsh Apoorva, Anubhab Bandyopadhyay, Ashwini Prabhu, Harshad Saykhedkar",India
Abroad Shiksha,Edtech,2015.0,,Gurugram,"Avinash Mittal, Jyoti Kanav Sachdeva, Jyoti Sharma, Kanav Sachdeva",India
Absentia,Advanced Hardware & Technology,2015.0,$1.44 Mn+,Thane,"Harikrishna Valiyath, Shubham A Mishra, Vrushali Prasade",India
Absolute,Agritech,2015.0,$102.26 Mn+,New Delhi,Agam Khare,India
Absolute Brands,Ecommerce,2023.0,$2.52 Mn+,Bengaluru,Vishnu Prasad,India
Absorbia,Ecommerce,2009.0,,Kolkata,Prabhav Sharda,India
Abyom,Deeptech,2020.0,$2.50 Mn+,Hyderabad,"Jainul Abedin, Pranchal Gupta",India
AcadAlly,Enterprise Tech,2022.0,,New Delhi,"Ridhi Agarwal, Yash Prakash",India
Acadview,Edtech,2015.0,,New Delhi,Himanshu Batra,India
Accacia,Enterprise Tech,2022.0,$9.00 Mn+,Gurugram,"Annu Talreja, Jagmohan Gaarg, Piyush Chitkara, Sumeet Popli",India
AccelerateBS,Enterprise Services,2012.0,,Mumbai,Keyur Shah,India
Acceleron Labs,Enterprise Services,2014.0,,Bengaluru,Prasad L.K.,India
Accelo,Clean Tech,2017.0,,Mumbai,"Aditya Unde, Arbaz Reza, Vrunda Nimje",India
Accentium Web,Deeptech,2007.0,$2.30 Mn+,Gurugram,"Ankur Warikoo, Bharanidharan Viswanathan, Umang Kumar, Vivek Pahwa",India
Accio Robotics,Advanced Hardware & Technology,2019.0,$1.80 Mn+,Bengaluru,"Pranav Srinivasan, Tuhin Sharma",India
AccioJob,Consumer Services,2018.0,$2.89 Mn+,Gurugram,"Harsh Sharma, Priyanshu Agarwal, Vishu Bansal, Yashwardhan Burad",India
Accion Labs,Enterprise Tech,2011.0,$93.00 Mn+,Mumbai,"Kinesh Doshi,Sandesh Sukumaran,Tony Kernan",India
Accord Innovations,Enterprise Services,2019.0,,Bengaluru,Dilip Shankar,India
