name,sector,founded,headquarters,founders,country,amount_raised_inr,state
Fanztar,Media & Entertainment,2022.0,Gurugram,"Himanshu Garg,Sahil Singla",India,,Haryana
FarEye,Logistics,2013.0,Noida,"Gaurav Srivastava, Kushal Nahata,Gautam Kumar",India,"Rs 12,891,560,000.0",Uttar Pradesh
FarMart,Ecommerce,2015.0,Gurugram,"Alekh Sanghera, Lokesh Singh, Mehtab Singh Hans",India,"Rs 3,926,730,000.0",Haryana
Farm Infinity,Enterprise Tech,2020.0,Guwahati,"Alok Ekka, Gunajit Brahma",India,,Assam
FarmERP,Enterprise Tech,2001.0,Pune,"Sanjay Borkar, Santosh Shinde",India,,Maharashtra
FarmFolks,Agritech,2015.0,Mysuru,Lakshmipriyan VG,India,,Karnataka
FarmGuide India,Enterprise Tech,2016.0,Gurugram,Nikhil Toshniwal,India,,Haryana
FarmLink,Ecommerce,2014.0,Mumbai,"Akshaya Kamath, Sreeram Chellappa",India,"Rs 249,000,000.0",Maharashtra
FarmOR,Enterprise Tech,2021.0,Hyderabad,"Raja Sekhar Duggempudi, Sai Teja Duggempudi",India,,Telangana
FarmTaaza,Agritech,2015.0,Bengaluru,Kumar Ramachandran,India,"Rs 664,000,000.0",Karnataka
Farmako,Health Tech,2019.0,Gurugram,"Aman Bhandula, Kaishu Sahu",India,"Rs 132,800,000.0",Haryana
Farmers Family,Consumer Services,2020.0,Noida,"Mayank Kulshrestha, vikal kulshreshtha",India,,Uttar Pradesh
Farmers Fresh Zone,Ecommerce,2015.0,Kochi,Pradeep PS,India,"Rs 107,070,000.0",Kerala
Farmizen,Ecommerce,2017.0,Bengaluru,Shameek Chakravarty,India,,Karnataka
Farmkart,Agritech,2017.0,Indore,Atul Patidar,India,,Madhya Pradesh
Farmley,Ecommerce,2017.0,Noida,"Abhishek Agarwal, Akash Sharma",India,"Rs 1,223,420,000.0",Uttar Pradesh
Farmology,Agritech,2018.0,Howrah,Akash Chandrakar,India,,West Bengal
Fasal,Agritech,2018.0,Bengaluru,"Ananda Verma, Dhaval Chaudhary, Shailendra Tiwari, Shivang Kar, Vaibhav Singh Rajput",India,"Rs 1,463,290,000.0",Karnataka
Fashalot,Enterprise Tech,2014.0,New Delhi,"Amit Koshal, Rishi Batra",India,,Delhi
Fashinza,Enterprise Tech,2020.0,Gurugram,"Abhishek Sharma, Pawan Gupta",India,"Rs 12,891,560,000.0",Haryana
Fashion & You,Ecommerce,2009.0,Gurugram,"Rahul Narvekar,Pearl Uppal, Gaurav Kachru",India,"Rs 6,009,200,000.0",Haryana
Fashion Is One,Ecommerce,2019.0,New Delhi,"Robby Rawat, Vivek Rawat",India,,Delhi
Fashionablyin,Ecommerce,2003.0,Mumbai,Tarun Thadani,India,,Maharashtra
Fashionove,Ecommerce,2014.0,Kolkata,"Sharad Kumar, Tanushree Khandelwal",India,,West Bengal
